Original Studio Name,Common Filename Variations,Acronym
Evil Angel,"evil.angel, EvilAngel, EVIL-ANGEL",EA
Vivid Video,"vivid.video, VividVideo, VIVID-VIDEO",VV
Devil's Films,"devils.films, DevilsFilms, DEVILS-FILMS",DF
White Ghetto Films,"white.ghetto.films, WhiteGhettoFilms, WHITE-GHETTO-FILMS",WGF
Sunshine Video,"sunshine.video, SunshineVideo, SUNSHINE-VIDEO",SV
Wicked Pictures,"wicked.pictures, WickedPictures, WICKED-PICTURES",WP
New Sensations,"new.sensations, NewSensations, NEW-SENSATIONS",NS
Caballero,"caballero, Caballero, CABALLERO",N/A
Digital Sin,"digital.sin, DigitalSin, DIGITAL-SIN",DS
Legend Video,"legend.video, LegendVideo, LEGEND-VIDEO",LV
Elegant Angel,"elegant.angel, ElegantAngel, ELEGANT-ANGEL",EA
Reality Kings,"reality.kings, RealityKings, REALITY-KINGS",RK
Private,"private, Private, PRIVATE",N/A
Juicy,"juicy, Juicy, JUICY",N/A
Heatwave Video,"heatwave.video, HeatwaveVideo, HEATWAVE-VIDEO",HV
Maverick,"maverick, Maverick, MAVERICK",N/A
Exquisite Pleasures,"exquisite.pleasures, ExquisitePleasures, EXQUISITE-PLEASURES",EP
Bang Bros Productions,"bang.bros.productions, BangBrosProductions, BANG-BROS",BBP
Channel 69,"channel.69, Channel69, CHANNEL-69",N/A
Naughty America,"naughty.america, NaughtyAmerica, NAUGHTY-AMERICA",NA
Future Works,"future.works, FutureWorks, FUTURE-WORKS",FW
Score,"score, Score, SCORE",N/A
Pure Filth Productions,"pure.filth.productions, PureFilthProductions, PURE-FILTH",PFP
Kick Ass Pictures,"kick.ass.pictures, KickAssPictures, KICK-ASS-PICTURES",KAP
Digital Playground,"digital.playground, DigitalPlayground, DIGITAL-PLAYGROUND",DP